20200301 211900;1.105790;1.105880;1.105780;1.105840;0
20200301 212000;1.105840;1.105920;1.105800;1.105830;0
20200301 212100;1.105830;1.105890;1.105780;1.105840;0
20200301 212200;1.105850;1.105920;1.105810;1.105810;0
20200301 212300;1.105820;1.105830;1.105660;1.105700;0
20200301 212400;1.105710;1.105710;1.105510;1.105560;0
20200301 212500;1.105560;1.105660;1.105560;1.105580;0
20200301 212600;1.105610;1.105750;1.105610;1.105710;0
20200301 212700;1.105710;1.105800;1.105620;1.105780;0
20200301 212800;1.105790;1.105840;1.105780;1.105830;0
20200301 212900;1.105830;1.105910;1.105710;1.105900;0
20200301 213000;1.105920;1.105950;1.105830;1.105830;0
20200301 213100;1.105820;1.105840;1.105760;1.105770;0
20200301 213200;1.105770;1.106040;1.105770;1.105990;0
20200301 213300;1.106020;1.106160;1.106020;1.106080;0
20200301 213400;1.106100;1.106240;1.106090;1.106180;0
20200301 213500;1.106180;1.106250;1.106150;1.106180;0
20200301 213600;1.106200;1.106300;1.106200;1.106250;0
20200301 213700;1.106240;1.106330;1.106110;1.106120;0
20200301 213800;1.106130;1.106130;1.105960;1.105980;0
20200301 213900;1.105980;1.106160;1.105910;1.105980;0
20200301 214000;1.105980;1.105990;1.105910;1.105980;0
20200301 214100;1.105980;1.106100;1.105970;1.106060;0
20200301 214200;1.106070;1.106320;1.106060;1.106280;0
20200301 214300;1.106290;1.106330;1.106170;1.106220;0
20200301 214400;1.106250;1.106260;1.106020;1.106070;0
20200301 214500;1.106100;1.106130;1.106050;1.106080;0
20200301 214600;1.106090;1.106130;1.106050;1.106070;0
20200301 214700;1.106090;1.106150;1.105910;1.106000;0
20200301 214800;1.106010;1.106070;1.105860;1.106040;0
20200301 214900;1.106070;1.106080;1.105780;1.105830;0
20200301 215000;1.105830;1.105950;1.105800;1.105910;0
20200301 215100;1.105920;1.106050;1.105920;1.106000;0
20200301 215200;1.106000;1.106010;1.105810;1.105860;0
20200301 215300;1.105850;1.105930;1.105790;1.105790;0
20200301 215400;1.105790;1.105870;1.105770;1.105830;0
20200301 215500;1.105830;1.105850;1.105720;1.105760;0
20200301 215600;1.105770;1.105830;1.105670;1.105800;0
20200301 215700;1.105790;1.105790;1.105630;1.105640;0
20200301 215800;1.105630;1.105660;1.105560;1.105560;0
20200301 215900;1.105570;1.105680;1.105570;1.105680;0
20200301 220000;1.105680;1.105680;1.105560;1.105580;0
20200301 220100;1.105570;1.105670;1.105570;1.105620;0
20200301 220200;1.105620;1.105820;1.105620;1.105780;0
20200301 220300;1.105800;1.105920;1.105750;1.105880;0
20200301 220400;1.105860;1.105880;1.105770;1.105820;0
20200301 220500;1.105810;1.105820;1.105710;1.105740;0
20200301 220600;1.105740;1.105750;1.105510;1.105570;0
20200301 220700;1.105580;1.105680;1.105580;1.105650;0
20200301 220800;1.105690;1.105690;1.105570;1.105600;0
20200301 220900;1.105610;1.105630;1.105510;1.105550;0
20200301 221000;1.105560;1.105600;1.105530;1.105550;0
20200301 221100;1.105560;1.105560;1.105470;1.105480;0
20200301 221200;1.105500;1.105560;1.105310;1.105350;0
20200301 221300;1.105350;1.105470;1.105350;1.105450;0
20200301 221400;1.105440;1.105550;1.105410;1.105520;0
20200301 221500;1.105520;1.105580;1.105400;1.105470;0
20200301 221600;1.105480;1.105510;1.105410;1.105470;0
20200301 221700;1.105480;1.105570;1.105440;1.105540;0
20200301 221800;1.105530;1.105530;1.105430;1.105470;0
20200301 221900;1.105460;1.105530;1.105420;1.105480;0
20200301 222000;1.105480;1.105530;1.105410;1.105530;0
20200301 222100;1.105520;1.105570;1.105480;1.105570;0
20200301 222200;1.105560;1.105600;1.105400;1.105570;0
20200301 222300;1.105580;1.105770;1.105570;1.105700;0
20200301 222400;1.105690;1.105850;1.105680;1.105800;0
20200301 222500;1.105790;1.105800;1.105620;1.105800;0
20200301 222600;1.105810;1.105910;1.105730;1.105880;0
20200301 222700;1.105870;1.105990;1.105830;1.105980;0
20200301 222800;1.105970;1.105990;1.105890;1.105940;0
20200301 222900;1.105930;1.105940;1.105850;1.105920;0
20200301 223000;1.105920;1.106200;1.105920;1.106110;0
20200301 223100;1.106120;1.106170;1.106000;1.106010;0
20200301 223200;1.106020;1.106040;1.105900;1.105900;0
20200301 223300;1.105910;1.105930;1.105790;1.105820;0
20200301 223400;1.105810;1.105850;1.105770;1.105810;0
20200301 223500;1.105800;1.105830;1.105660;1.105670;0
20200301 223600;1.105680;1.105730;1.105610;1.105730;0
20200301 223700;1.105730;1.105740;1.105650;1.105710;0
20200301 223800;1.105720;1.105780;1.105690;1.105710;0
20200301 223900;1.105710;1.105780;1.105680;1.105720;0
20200301 224000;1.105710;1.105730;1.105510;1.105650;0
20200301 224100;1.105660;1.105690;1.105510;1.105600;0
20200301 224200;1.105610;1.105610;1.105500;1.105540;0
20200301 224300;1.105550;1.105630;1.105450;1.105580;0
20200301 224400;1.105570;1.105680;1.105540;1.105590;0
20200301 224500;1.105590;1.105680;1.105560;1.105650;0
20200301 224600;1.105660;1.105670;1.105590;1.105630;0
20200301 224700;1.105620;1.105660;1.105560;1.105580;0
20200301 224800;1.105570;1.105570;1.105370;1.105370;0
20200301 224900;1.105360;1.105480;1.105360;1.105480;0
20200301 225000;1.105460;1.105530;1.105360;1.105530;0
20200301 225100;1.105530;1.105530;1.105400;1.105420;0
20200301 225200;1.105410;1.105490;1.105410;1.105420;0
